Symbol,Date,Eps,Revenue
AACG,2024-09-30,-0.46,67.254807
AACG,2024-06-30,-0.54,51.763927
AACG,2024-03-31,-0.58,48.125819
AACG,2023-12-31,0.28,83.608695
AACG,2023-09-30,-0.24,59.450108
AACG,2023-06-30,-0.54,36.24179
AACG,2023-03-31,-0.56,42.318375
AACG,2022-12-31,0.06,78.537296
AACG,2022-09-30,-0.38,52.099904
AACG,2022-06-30,-0.7,34.045045
AACG,2022-03-31,-0.5,42.138629
AACG,2021-12-31,-0.08,72.561478
AACG,2021-09-30,-0.84,55.297492
AACG,2021-06-30,0.42,36.76095
AACG,2021-03-31,-0.66,37.589545
AACG,2020-12-31,-0.86,60.847716
AACG,2020-09-30,0.56,42.220208
AACG,2020-06-30,-1.08,26.396218
AACG,2020-03-31,-0.7,32.703405
AACG,2019-12-31,-2.54,52.369792
AACG,2019-09-30,-0.98,42.417782
AACG,2019-06-30,-0.62,1.366185
AACG,2019-03-31,-0.62,1.616408
AACG,2018-12-31,-1.12,-0.042078
AACG,2018-09-30,43.66,1.085095
AACG,2018-06-30,-4.38,0.077076
AACG,2018-03-31,-1.72,0.218499
AACG,2017-12-31,2.16,316.448051
