Symbol,Date,Eps,Revenue
AADI,2024-09-30,-0.46,7.212
AADI,2024-06-30,-0.54,6.179
AADI,2024-03-31,-0.68,5.353
AADI,2023-12-31,-0.6,6.326
AADI,2023-09-30,-0.6,5.959
AADI,2023-06-30,-0.67,6.202
AADI,2023-03-31,-0.57,5.867
AADI,2022-12-31,-0.52,5.227
AADI,2022-09-30,-0.68,4.245
AADI,2022-06-30,-0.87,3.437
AADI,2022-03-31,-0.66,2.307
AADI,2021-12-31,-0.77,1.0
AADI,2021-09-30,-9.17,0.0
AADI,2021-06-30,-0.07371,0.0
AADI,2021-03-31,-0.262785,0.0
AADI,2020-12-31,0.373015,14.0
AADI,2020-09-30,-0.150636,0.0
