Symbol,Date,Eps,Revenue
AAL,2024-12-31,0.9,13660.0
AAL,2024-09-30,-0.23,13647.0
AAL,2024-06-30,1.09,14334.0
AAL,2024-03-31,-0.48,12570.0
AAL,2023-12-31,0.03,13062.0
AAL,2023-09-30,-0.83,13482.0
AAL,2023-06-30,2.05,14055.0
AAL,2023-03-31,0.02,12189.0
AAL,2022-12-31,1.23,13188.0
AAL,2022-09-30,0.74,13462.0
AAL,2022-06-30,0.73,13422.0
AAL,2022-03-31,-2.52,8899.0
AAL,2021-12-31,-1.44,9427.0
AAL,2021-09-30,0.26,8969.0
AAL,2021-06-30,0.03,7478.0
AAL,2021-03-31,-1.97,4008.0
AAL,2020-12-31,-3.81,4028.0
AAL,2020-09-30,-4.71,3173.0
AAL,2020-06-30,-4.82,1622.0
AAL,2020-03-31,-5.26,8515.0
AAL,2019-12-31,0.95,11313.0
AAL,2019-09-30,0.96,11911.0
AAL,2019-06-30,1.49,11960.0
AAL,2019-03-31,0.41,10584.0
AAL,2018-12-31,0.71,10938.0
AAL,2018-09-30,0.74,11559.0
AAL,2018-06-30,1.22,11643.0
AAL,2018-03-31,0.39,10401.0
