Symbol,Date,Eps,Revenue
AAME,2024-09-30,-0.1,44.519
AAME,2024-06-30,-0.04,47.668
AAME,2024-03-31,-0.1,46.997
AAME,2023-12-31,-0.12,46.745
AAME,2023-09-30,0.08,44.591
AAME,2023-06-30,0.08,49.188
AAME,2023-03-31,-0.08,46.269
AAME,2022-12-31,0.05,45.231
AAME,2022-09-30,-0.04,46.343
AAME,2022-06-30,-0.09,44.669
AAME,2022-03-31,0.13,51.608
AAME,2021-12-31,0.13,49.732
AAME,2021-09-30,-0.05,49.29
AAME,2021-06-30,0.14,51.457
AAME,2021-03-31,-0.03,49.075
AAME,2020-12-31,0.58,59.932
AAME,2020-09-30,0.09,46.269
AAME,2020-06-30,0.31,49.737
AAME,2020-03-31,-0.4,39.41
AAME,2019-12-31,0.06,52.289
AAME,2019-09-30,-0.07,47.745
AAME,2019-06-30,-0.22,43.127
AAME,2019-03-31,0.2,55.018
AAME,2018-12-31,0.01,49.2
AAME,2018-09-30,0.04,46.37
AAME,2018-06-30,0.15,49.443
AAME,2018-03-31,-0.25,40.54
AAME,2017-12-31,0.12,48.825
