Symbol,Date,Eps,Revenue
AAOI,2024-12-31,-2.6,100.271
AAOI,2024-09-30,-0.42,65.151
AAOI,2024-06-30,-0.66,43.27
AAOI,2024-03-31,-0.6,40.673
AAOI,2023-12-31,-0.38,60.453
AAOI,2023-09-30,-0.27,62.547
AAOI,2023-06-30,-0.57,41.615
AAOI,2023-03-31,-0.56,53.03
AAOI,2022-12-31,-0.71,61.585
AAOI,2022-09-30,-0.56,56.693
AAOI,2022-06-30,-0.52,52.299
AAOI,2022-03-31,-0.58,52.242
AAOI,2021-12-31,-0.54,54.408
AAOI,2021-09-30,-0.58,53.267
AAOI,2021-06-30,-0.31,54.189
AAOI,2021-03-31,-0.59,49.701
AAOI,2020-12-31,-0.55,52.325
AAOI,2020-09-30,-0.42,76.608
AAOI,2020-06-30,-0.89,65.222
AAOI,2020-03-31,-0.83,40.467
AAOI,2019-12-31,-1.76,48.658
AAOI,2019-09-30,-0.44,46.084
AAOI,2019-06-30,-0.57,43.411
AAOI,2019-03-31,-0.53,52.719
AAOI,2018-12-31,-0.43,58.018
AAOI,2018-09-30,-0.19,56.386
AAOI,2018-06-30,0.41,87.822
AAOI,2018-03-31,0.11,65.239
