Symbol,Date,Eps,Revenue
AAON,2024-12-31,0.3,297.718
AAON,2024-09-30,0.65,327.252
AAON,2024-06-30,0.64,313.566
AAON,2024-03-31,0.48,262.099
AAON,2023-12-31,0.58,306.638
AAON,2023-09-30,0.59,311.97
AAON,2023-06-30,0.56,283.957
AAON,2023-03-31,0.46,265.953
AAON,2022-12-31,0.486667,254.598
AAON,2022-09-30,0.346667,242.605
AAON,2022-06-30,0.2,208.814
AAON,2022-03-31,0.226667,182.771
AAON,2021-12-31,0.08,136.282
AAON,2021-09-30,0.2,138.571
AAON,2021-06-30,0.26,143.876
AAON,2021-03-31,0.206667,115.788
AAON,2020-12-31,0.24,116.7
AAON,2020-09-30,0.26,134.772
AAON,2020-06-30,0.226667,125.596
AAON,2020-03-31,0.28,137.483
AAON,2019-12-31,0.22,122.574
AAON,2019-09-30,0.18,113.5
AAON,2019-06-30,0.166667,119.437
AAON,2019-03-31,0.14,113.822
AAON,2018-12-31,0.16,112.34
AAON,2018-09-30,0.18,112.937
AAON,2018-06-30,0.146667,109.588
AAON,2018-03-31,0.053333,99.082
