Symbol,Date,Eps,Revenue
AAPL,2024-12-31,2.41,124300.0
AAPL,2024-09-30,0.97,94930.0
AAPL,2024-06-30,1.4,85777.0
AAPL,2024-03-31,1.53,90753.0
AAPL,2023-12-31,2.19,119575.0
AAPL,2023-09-30,1.47,89498.0
AAPL,2023-06-30,1.27,81797.0
AAPL,2023-03-31,1.53,94836.0
AAPL,2022-12-31,1.89,117154.0
AAPL,2022-09-30,1.29,90146.0
AAPL,2022-06-30,1.2,82959.0
AAPL,2022-03-31,1.54,97278.0
AAPL,2021-12-31,2.11,123945.0
AAPL,2021-09-30,1.25,83360.0
AAPL,2021-06-30,1.31,81434.0
AAPL,2021-03-31,1.41,89584.0
AAPL,2020-12-31,1.7,111439.0
AAPL,2020-09-30,0.74,64698.0
AAPL,2020-06-30,0.6525,59685.0
AAPL,2020-03-31,0.645,58313.0
AAPL,2019-12-31,1.26,91819.0
AAPL,2019-09-30,0.7625,64040.0
AAPL,2019-06-30,0.55,53809.0
AAPL,2019-03-31,0.6175,58015.0
AAPL,2018-12-31,1.055,84310.0
AAPL,2018-09-30,0.735,62900.0
AAPL,2018-06-30,0.59,53265.0
AAPL,2018-03-31,0.6875,61137.0
