Symbol,Date,Eps,Revenue
AAP,2024-12-31,-6.94,1996.025
AAP,2024-09-30,-0.1,2147.991
AAP,2024-06-30,0.75,2683.053
AAP,2024-03-31,0.67,3406.254
AAP,2023-12-31,-0.59,2464.869
AAP,2023-09-30,-0.82,2719.079
AAP,2023-06-30,1.44,2686.066
AAP,2023-03-31,0.72,3417.594
AAP,2022-12-31,1.8,2473.745
AAP,2022-09-30,1.85,2641.341
AAP,2022-06-30,2.39,2665.426
AAP,2022-03-31,2.28,3374.21
AAP,2021-12-31,1.31,2396.975
AAP,2021-09-30,2.7,2621.229
AAP,2021-06-30,2.76,2649.415
AAP,2021-03-31,2.83,3330.37
AAP,2020-12-31,1.66,2365.131
AAP,2020-09-30,2.14,2541.928
AAP,2020-06-30,2.75,2501.38
AAP,2020-03-31,0.63,2697.882
AAP,2019-12-31,1.39,2112.614
AAP,2019-09-30,1.76,2312.106
AAP,2019-06-30,1.74,2332.246
AAP,2019-04-30,1.99,2952.036
AAP,2019-03-31,1.99,2952.036
AAP,2018-12-31,0.74,2105.072
AAP,2018-09-30,1.57,2274.982
AAP,2018-06-30,1.59,2326.652
AAP,2018-04-30,1.85,2873.848
AAP,2018-03-31,1.85,2873.848
