Symbol,Date,Eps,Revenue
AAT,2024-12-31,0.15,113.459
AAT,2024-09-30,0.28,122.81
AAT,2024-06-30,0.2,110.89
AAT,2024-03-31,0.32,110.695
AAT,2023-12-31,0.17,112.491
AAT,2023-09-30,0.2,111.198
AAT,2023-06-30,0.2,109.721
AAT,2023-03-31,0.27,107.754
AAT,2022-12-31,0.16,106.0
AAT,2022-09-30,0.21,111.023
AAT,2022-06-30,0.18,104.155
AAT,2022-03-31,0.18,101.47
AAT,2021-12-31,0.14,101.747
AAT,2021-09-30,0.17,98.286
AAT,2021-06-30,0.15,91.809
AAT,2021-03-31,0.02,83.986
AAT,2020-12-31,0.05,81.347
AAT,2020-09-30,0.08,84.374
AAT,2020-06-30,0.13,82.109
AAT,2020-03-31,0.2,96.743
AAT,2019-12-31,0.22,98.947
AAT,2019-09-30,0.22,98.362
AAT,2019-06-30,0.18,84.113
AAT,2019-03-31,0.24,85.319
AAT,2018-12-31,0.14,82.605
AAT,2018-09-30,0.22,82.507
AAT,2018-06-30,0.07,85.023
AAT,2018-03-31,-0.01,80.732
