Symbol,Date,Eps,Revenue
AA,2024-12-31,0.77,3486.0
AA,2024-09-30,0.39,2904.0
AA,2024-06-30,0.11,2906.0
AA,2024-03-31,-1.41,2599.0
AA,2023-12-31,-0.84,2595.0
AA,2023-09-30,-0.94,2602.0
AA,2023-06-30,-0.57,2684.0
AA,2023-03-31,-1.3,2670.0
AA,2022-12-31,-2.12,2663.0
AA,2022-09-30,-4.17,2851.0
AA,2022-06-30,3.01,3644.0
AA,2022-03-31,2.54,3293.0
AA,2021-12-31,-2.11,3340.0
AA,2021-09-30,1.8,3109.0
AA,2021-06-30,1.66,2833.0
AA,2021-03-31,0.94,2870.0
AA,2020-12-31,-0.02,2392.0
AA,2020-09-30,-0.26,2365.0
AA,2020-06-30,-1.06,2148.0
AA,2020-03-31,0.43,2381.0
AA,2019-12-31,-1.64,2436.0
AA,2019-09-30,-1.19,2567.0
AA,2019-06-30,-2.17,2711.0
AA,2019-03-31,-1.07,2719.0
AA,2018-12-31,0.23,3344.0
AA,2018-09-30,-0.22,3390.0
AA,2018-06-30,0.4,3579.0
AA,2018-03-31,0.81,3090.0
