Symbol,Date,Eps,Revenue
ABBV,2024-12-31,-0.012463,15102.0
ABBV,2024-09-30,0.88,14460.0
ABBV,2024-06-30,0.77,14462.0
ABBV,2024-03-31,0.77,12310.0
ABBV,2023-12-31,0.465474,14301.0
ABBV,2023-09-30,1.0,13927.0
ABBV,2023-06-30,1.14,13865.0
ABBV,2023-03-31,0.13,12225.0
ABBV,2022-12-31,1.397822,15121.0
ABBV,2022-09-30,2.22,14812.0
ABBV,2022-06-30,0.52,14583.0
ABBV,2022-03-31,2.52,13538.0
ABBV,2021-12-31,2.286894,14886.0
ABBV,2021-09-30,1.78,14342.0
ABBV,2021-06-30,0.42,13959.0
ABBV,2021-03-31,2.0,13010.0
ABBV,2020-12-31,0.020395,13858.0
ABBV,2020-09-30,1.3,12902.0
ABBV,2020-06-30,-0.46,10425.0
ABBV,2020-03-31,2.02,8619.0
ABBV,2019-12-31,1.893961,8704.0
ABBV,2019-09-30,1.27,8479.0
ABBV,2019-06-30,0.49,8255.0
ABBV,2019-03-31,1.65,7828.0
ABBV,2018-12-31,-1.234765,8305.0
ABBV,2018-09-30,1.81,8236.0
ABBV,2018-06-30,1.26,8278.0
ABBV,2018-03-31,1.74,7934.0
