Symbol,Date,Eps,Revenue
ABCL,2024-12-31,-0.11,5.05
ABCL,2024-09-30,-0.17,6.507
ABCL,2024-06-30,-0.13,7.323
ABCL,2024-03-31,-0.14,9.954
ABCL,2023-12-31,-0.17,9.179
ABCL,2023-09-30,-0.1,6.599
ABCL,2023-06-30,-0.11,10.056
ABCL,2023-03-31,-0.14,12.192
ABCL,2022-12-31,-0.1,21.545
ABCL,2022-09-30,0.09,101.383
ABCL,2022-06-30,-0.02,45.917
ABCL,2022-03-31,0.59,316.581
ABCL,2021-12-31,0.22,139.331
ABCL,2021-09-30,-0.08,5.508
ABCL,2021-06-30,-0.008387,27.643
ABCL,2021-03-31,0.43,202.741
ABCL,2020-12-31,0.31074,207.908272
ABCL,2020-09-30,-0.010126,9.362
ABCL,2020-06-30,0.031117,11.228
ABCL,2020-03-31,-0.009716,4.657
ABCL,2019-12-31,-0.007355,3.2024
