Symbol,Date,Eps,Revenue
ABEV,2024-12-31,0.31,27035.449
ABEV,2024-09-30,0.22,22096.739
ABEV,2024-06-30,0.1523,20044.215
ABEV,2024-03-31,0.235,20276.297
ABEV,2023-12-31,0.28,19989.278
ABEV,2023-09-30,0.2484,20317.765
ABEV,2023-06-30,0.1589,18898.114
ABEV,2023-03-31,0.235,20531.743
ABEV,2022-12-31,0.33,22693.011
ABEV,2022-09-30,0.1975,20587.642
ABEV,2022-06-30,0.1886,17988.995
ABEV,2022-03-31,0.2168,18439.152
ABEV,2021-12-31,0.24,22010.789
ABEV,2021-09-30,0.2257,18492.609
ABEV,2021-06-30,0.1834,15711.141
ABEV,2021-03-31,0.1668,16639.761
ABEV,2020-12-31,0.44,18556.575
ABEV,2020-09-30,0.1446,15604.498
ABEV,2020-06-30,0.078,11615.33
ABEV,2020-03-31,0.0694,12602.597
ABEV,2019-12-31,0.26,15856.789
ABEV,2019-09-30,0.1588,11957.652
ABEV,2019-06-30,0.1603,12145.133
ABEV,2019-03-31,0.17,12640.126
ABEV,2018-12-31,0.21,16017.793
ABEV,2018-09-30,0.18,11063.743
ABEV,2018-06-30,0.15,11509.545
ABEV,2018-03-31,0.16,11640.219
