Symbol,Date,Eps,Revenue
ABG,2024-12-31,6.58,4504.6
ABG,2024-09-30,6.4,4236.7
ABG,2024-06-30,1.4,4246.2
ABG,2024-03-31,7.24,4201.3
ABG,2023-12-31,2.72,3811.7
ABG,2023-09-30,8.22,3666.2
ABG,2023-06-30,9.37,3742.4
ABG,2023-03-31,8.42,3582.3
ABG,2022-12-31,16.02,3705.9
ABG,2022-09-30,9.26,3866.0
ABG,2022-06-30,9.11,3950.2
ABG,2022-03-31,10.43,3911.8
ABG,2021-12-31,6.47,2654.8
ABG,2021-09-30,7.62,2406.0
ABG,2021-06-30,7.88,2584.0
ABG,2021-03-31,4.81,2192.9
ABG,2020-12-31,4.64,2234.0
ABG,2020-09-30,5.01,1845.4
ABG,2020-06-30,2.58,1445.1
ABG,2020-03-31,1.02,1607.3
ABG,2019-12-31,2.28,1894.0
ABG,2019-09-30,2.36,1842.0
ABG,2019-06-30,2.87,1803.5
ABG,2019-03-31,2.13,1670.8
ABG,2018-12-31,2.09,1784.2
ABG,2018-09-30,2.22,1757.4
ABG,2018-06-30,2.13,1723.6
ABG,2018-03-31,1.95,1609.2
