Symbol,Date,Eps,Revenue
ABM,2025-01-31,0.69,2114.9
ABM,2024-10-31,-0.19,2177.4
ABM,2024-07-31,0.07,2094.2
ABM,2024-04-30,0.69,2018.2
ABM,2024-01-31,0.7,2069.6
ABM,2023-10-31,0.97,2092.9
ABM,2023-07-31,1.48,2028.2
ABM,2023-04-30,0.78,1984.0
ABM,2023-01-31,0.58,1991.3
ABM,2022-10-31,0.74,2011.1
ABM,2022-07-31,0.85,1961.4
ABM,2022-04-30,0.73,1897.8
ABM,2022-01-31,1.12,1936.2
ABM,2021-10-31,0.51,1695.6
ABM,2021-07-31,-0.2,1543.1
ABM,2021-04-30,0.46,1497.4
ABM,2021-01-31,1.11,1492.4
ABM,2020-10-31,0.79,1484.6
ABM,2020-07-31,0.84,1394.1
ABM,2020-04-30,-2.05,1496.0
ABM,2020-01-31,0.42,1612.9
ABM,2019-10-31,0.72,1648.0
ABM,2019-07-31,0.55,1647.9
ABM,2019-04-30,0.45,1594.7
ABM,2019-01-31,0.2,1607.9
ABM,2018-10-31,0.15,1648.7
ABM,2018-07-31,0.51,1624.3
ABM,2018-04-30,0.4,1580.8
