Symbol,Date,Eps,Revenue
ABNB,2024-12-31,0.74,2480.0
ABNB,2024-09-30,2.17,3732.0
ABNB,2024-06-30,0.87,2748.0
ABNB,2024-03-31,0.41,2142.0
ABNB,2023-12-31,-0.55,2218.0
ABNB,2023-09-30,6.83,3397.0
ABNB,2023-06-30,1.02,2484.0
ABNB,2023-03-31,0.18,1818.0
ABNB,2022-12-31,0.5,1901.546
ABNB,2022-09-30,1.9,2884.41
ABNB,2022-06-30,0.59,2104.107
ABNB,2022-03-31,-0.03,1508.937
ABNB,2021-12-31,0.09,1532.196
ABNB,2021-09-30,1.34,2237.432
ABNB,2021-06-30,-0.11,1335.196
ABNB,2021-03-31,-1.95,886.936
ABNB,2020-12-31,-11.24,859.264
ABNB,2020-09-30,0.373516,1342.331
ABNB,2020-06-30,-1.084082,334.774
ABNB,2020-03-31,-0.641507,841.83
ABNB,2019-12-31,-0.682026,1106.796
