Symbol,Date,Eps,Revenue
ABOS,2024-09-30,-0.5,0.0
ABOS,2024-06-30,-0.34,0.0
ABOS,2024-03-31,-0.25,0.0
ABOS,2023-12-31,-0.29,0.0
ABOS,2023-09-30,-0.24,0.0
ABOS,2023-06-30,-0.28,0.0
ABOS,2023-03-31,-0.28,0.0
ABOS,2022-12-31,-0.32,0.0
ABOS,2022-09-30,-0.26,0.0
ABOS,2022-06-30,-0.25,0.0
ABOS,2022-03-31,-0.23,0.0
ABOS,2021-12-31,-0.206284,0.0
ABOS,2021-09-30,-0.1,0.0
ABOS,2021-06-30,-1.658991,0.0
ABOS,2021-03-31,-0.13,0.0
ABOS,2020-12-31,-0.046803,0.0
ABOS,2020-09-30,-0.086906,0.0
ABOS,2020-06-30,-0.071025,0.151
ABOS,2020-03-31,-0.071374,0.226
