Symbol,Date,Eps,Revenue
ABR,2024-12-31,0.32,151.712
ABR,2024-09-30,0.31,156.653
ABR,2024-06-30,0.25,156.916
ABR,2024-03-31,0.31,160.653
ABR,2023-12-31,0.49,188.884
ABR,2023-09-30,0.42,176.687
ABR,2023-06-30,0.42,173.768
ABR,2023-03-31,0.47,181.672
ABR,2022-12-31,0.51,196.957
ABR,2022-09-30,0.37,134.36
ABR,2022-06-30,0.43,144.699
ABR,2022-03-31,0.42,143.042
ABR,2021-12-31,0.72,182.496
ABR,2021-09-30,0.51,139.498
ABR,2021-06-30,0.51,139.941
ABR,2021-03-31,0.55,128.988
ABR,2020-12-31,0.84,165.908
ABR,2020-09-30,0.72,118.875
ABR,2020-06-30,0.4,108.499
ABR,2020-03-31,-0.54,40.849
ABR,2019-12-31,0.35,96.164
ABR,2019-09-30,0.36,95.003
ABR,2019-06-30,0.32,83.959
ABR,2019-03-31,0.27,74.26
ABR,2018-12-31,0.48,107.826
ABR,2018-09-30,0.37,83.532
ABR,2018-06-30,0.26,68.334
ABR,2018-03-31,0.42,71.387
