Symbol,Date,Eps,Revenue
ABSI,2024-09-30,-0.24,1.701
ABSI,2024-06-30,-0.22,1.27
ABSI,2024-03-31,-0.22,0.898
ABSI,2023-12-31,-0.25,0.338
ABSI,2023-09-30,-0.24,0.744
ABSI,2023-06-30,-0.45,3.367
ABSI,2023-03-31,-0.26,1.269
ABSI,2022-12-31,-0.21,1.557
ABSI,2022-09-30,-0.3,2.369
ABSI,2022-06-30,-0.32,1.002
ABSI,2022-03-31,-0.33,0.819
ABSI,2021-12-31,-0.28,1.452
ABSI,2021-09-30,-0.33,1.539
ABSI,2021-06-30,-0.467441,0.728
ABSI,2021-03-31,-0.132,1.063
ABSI,2020-12-31,-0.063281,2.728
ABSI,2020-09-30,-0.143436,0.916
ABSI,2020-06-30,-0.187828,0.564
ABSI,2020-03-31,-0.15283,0.572
