Symbol,Date,Eps,Revenue
ABT,2024-12-31,5.329451,10974.0
ABT,2024-09-30,0.94,10635.0
ABT,2024-06-30,0.74,10377.0
ABT,2024-03-31,0.7,9964.0
ABT,2023-12-31,0.919221,10241.0
ABT,2023-09-30,0.82,10143.0
ABT,2023-06-30,0.79,9978.0
ABT,2023-03-31,0.75,9747.0
ABT,2022-12-31,0.594431,10091.0
ABT,2022-09-30,0.82,10410.0
ABT,2022-06-30,1.15,11257.0
ABT,2022-03-31,1.38,11895.0
ABT,2021-12-31,1.127498,11468.0
ABT,2021-09-30,1.18,10928.0
ABT,2021-06-30,0.67,10223.0
ABT,2021-03-31,1.0,10456.0
ABT,2020-12-31,1.220621,10701.0
ABT,2020-09-30,0.69,8853.0
ABT,2020-06-30,0.3,7328.0
ABT,2020-03-31,0.32,7726.0
ABT,2019-12-31,0.595176,8314.0
ABT,2019-09-30,0.54,8076.0
ABT,2019-06-30,0.57,7979.0
ABT,2019-03-31,0.38,7535.0
ABT,2018-12-31,0.372518,7765.0
ABT,2018-09-30,0.32,7656.0
ABT,2018-06-30,0.42,7767.0
ABT,2018-03-31,0.24,7390.0
