Symbol,Date,Eps,Revenue
ABUS,2024-09-30,-0.1,1.339
ABUS,2024-06-30,-0.11,1.726
ABUS,2024-03-31,-0.1,1.532
ABUS,2023-12-31,-0.12,2.145
ABUS,2023-09-30,-0.12,4.658
ABUS,2023-06-30,-0.1,4.651
ABUS,2023-03-31,-0.1,6.687
ABUS,2022-12-31,-0.14,6.245
ABUS,2022-09-30,-0.12,5.952
ABUS,2022-06-30,-0.1,14.241
ABUS,2022-03-31,-0.11,12.581
ABUS,2021-12-31,-0.15,3.206
ABUS,2021-09-30,-0.24,3.34
ABUS,2021-06-30,-0.23,2.329
ABUS,2021-03-31,-0.21,2.113
ABUS,2020-12-31,-0.23,2.386
ABUS,2020-09-30,-0.27,1.523
ABUS,2020-06-30,-0.25,1.514
ABUS,2020-03-31,-0.25,1.491
ABUS,2019-12-31,-0.46,1.618
ABUS,2019-09-30,-1.5,3.061
ABUS,2019-06-30,-0.46,0.653
ABUS,2019-03-31,-0.47,0.679
ABUS,2018-12-31,-0.37,1.678
ABUS,2018-09-30,-0.49,1.587
ABUS,2018-06-30,0.01,1.244
ABUS,2018-03-31,-0.36,1.436
