Symbol,Date,Eps,Revenue
AB,2024-12-31,0.935235,116.589
AB,2024-09-30,1.12,136.374
AB,2024-06-30,0.99,122.705
AB,2024-03-31,0.67,86.281
AB,2023-12-31,0.709745,88.517
AB,2023-09-30,0.5,65.761
AB,2023-06-30,0.53,69.121
AB,2023-03-31,0.59,76.382
AB,2022-12-31,0.58787,71.888
AB,2022-09-30,0.56,63.905
AB,2022-06-30,0.69,75.358
AB,2022-03-31,0.87,94.353
AB,2021-12-31,1.270902,134.091
AB,2021-09-30,0.89,95.921
AB,2021-06-30,0.91,97.407
AB,2021-03-31,0.81,88.907
AB,2020-12-31,0.971355,101.415
AB,2020-09-30,0.7,73.874
AB,2020-06-30,0.59,63.201
AB,2020-03-31,0.63,69.914
AB,2019-12-31,0.836008,87.909
AB,2019-09-30,0.62,66.722
AB,2019-06-30,0.54,59.023
AB,2019-03-31,0.49,52.638
AB,2018-12-31,0.627539,66.759
AB,2018-09-30,0.68,72.802
AB,2018-06-30,0.59,65.388
AB,2018-03-31,0.6,65.698
