Symbol,Date,Eps,Revenue
ACAD,2024-12-31,0.86,259.602
ACAD,2024-09-30,0.2,250.401
ACAD,2024-06-30,0.2,241.963
ACAD,2024-03-31,0.1,205.831
ACAD,2023-12-31,0.28,231.041
ACAD,2023-09-30,-0.4,211.699
ACAD,2023-06-30,0.01,165.235
ACAD,2023-03-31,-0.27,118.462
ACAD,2022-12-31,-0.26,136.49
ACAD,2022-09-30,-0.17,130.714
ACAD,2022-06-30,-0.21,134.563
ACAD,2022-03-31,-0.7,115.468
ACAD,2021-12-31,-0.27,130.758
ACAD,2021-09-30,-0.09,131.612
ACAD,2021-06-30,-0.27,115.221
ACAD,2021-03-31,-0.42,106.554
ACAD,2020-12-31,-0.42,121.007
ACAD,2020-09-30,-0.54,120.577
ACAD,2020-06-30,-0.27,110.103
ACAD,2020-03-31,-0.57,90.068
ACAD,2019-12-31,-0.34,98.326
ACAD,2019-09-30,-0.29,94.586
ACAD,2019-06-30,-0.38,83.205
ACAD,2019-03-31,-0.59,62.959
ACAD,2018-12-31,-0.5,59.571
ACAD,2018-09-30,-0.5,58.305
ACAD,2018-06-30,-0.51,57.063
ACAD,2018-03-31,-0.44,48.868
