Symbol,Date,Eps,Revenue
ACA,2024-12-31,-0.16,666.2
ACA,2024-09-30,0.34,640.4
ACA,2024-06-30,0.93,664.7
ACA,2024-03-31,0.81,598.6
ACA,2023-12-31,0.56,582.2
ACA,2023-09-30,0.73,591.7
ACA,2023-06-30,0.84,584.8
ACA,2023-03-31,1.15,549.2
ACA,2022-12-31,3.2,500.3
ACA,2022-09-30,0.66,603.9
ACA,2022-06-30,0.8,602.8
ACA,2022-03-31,0.42,535.8
ACA,2021-12-31,0.19,521.8
ACA,2021-09-30,0.49,559.1
ACA,2021-06-30,0.43,515.1
ACA,2021-03-31,0.33,440.4
ACA,2020-12-31,0.22,458.9
ACA,2020-09-30,0.64,490.0
ACA,2020-06-30,0.69,498.5
ACA,2020-03-31,0.65,488.2
ACA,2019-12-31,0.44,446.9
ACA,2019-09-30,0.68,445.0
ACA,2019-06-30,0.66,434.1
ACA,2019-03-31,0.57,410.9
ACA,2018-12-31,0.56,374.4
ACA,2018-09-30,0.065574,378.6
ACA,2018-06-30,0.463115,353.0
ACA,2018-03-31,0.454918,354.4
