Symbol,Date,Eps,Revenue
ACCD,2024-11-30,-1.5,105.061
ACCD,2024-08-31,-0.3,106.36
ACCD,2024-05-31,-0.35,110.466
ACCD,2024-02-29,-0.1,124.831
ACCD,2023-11-30,-0.28,99.371
ACCD,2023-08-31,-0.434839,96.864
ACCD,2023-05-31,-0.52,93.226
ACCD,2023-02-28,-0.42,99.025
ACCD,2022-11-30,-0.56,90.946
ACCD,2022-08-31,-0.66,87.643
ACCD,2022-05-31,-4.92,85.528
ACCD,2022-02-28,-0.51,93.756
ACCD,2021-11-30,0.34,83.45
ACCD,2021-08-31,-0.97,73.288
ACCD,2021-05-31,-0.84,59.527
ACCD,2021-02-28,-0.22,59.232
ACCD,2020-11-30,-0.32,38.444
ACCD,2020-08-31,-0.47,36.788
ACCD,2020-05-31,-0.299228,35.894
ACCD,2020-02-29,-6.969649,44.441
ACCD,2019-11-30,-0.528304,29.652
ACCD,2019-08-31,-0.433858,29.651
ACCD,2019-05-31,-0.45918,28.763
ACCD,2019-02-28,-0.200644,35.09
