Symbol,Date,Eps,Revenue
ACCO,2024-12-31,0.22,448.1
ACCO,2024-09-30,0.1,420.9
ACCO,2024-06-30,-1.29,438.3
ACCO,2024-03-31,-0.07,358.9
ACCO,2023-12-31,-0.62,488.6
ACCO,2023-09-30,0.16,448.0
ACCO,2023-06-30,0.28,493.6
ACCO,2023-03-31,-0.04,402.6
ACCO,2022-12-31,0.2,499.4
ACCO,2022-09-30,-0.73,485.6
ACCO,2022-06-30,0.41,521.0
ACCO,2022-03-31,-0.03,441.6
ACCO,2021-12-31,0.56,570.3
ACCO,2021-09-30,0.21,526.7
ACCO,2021-06-30,0.51,517.8
ACCO,2021-03-31,-0.21,410.5
ACCO,2020-12-31,0.31,460.1
ACCO,2020-09-30,0.2,444.1
ACCO,2020-06-30,0.06,366.9
ACCO,2020-03-31,0.08,384.1
ACCO,2019-12-31,0.45,537.4
ACCO,2019-09-30,0.29,505.7
ACCO,2019-06-30,0.35,518.7
ACCO,2019-03-31,-0.01,393.9
ACCO,2018-12-31,0.34,529.3
ACCO,2018-09-30,0.34,507.3
ACCO,2018-06-30,0.24,498.8
ACCO,2018-03-31,0.1,405.8
