Symbol,Date,Eps,Revenue
ACEL,2024-12-31,0.1,317.515
ACEL,2024-09-30,0.06,302.227
ACEL,2024-06-30,0.17,309.413
ACEL,2024-03-31,0.09,301.817
ACEL,2023-12-31,0.19,297.068
ACEL,2023-09-30,0.12,287.497
ACEL,2023-06-30,0.12,292.647
ACEL,2023-03-31,0.11,293.208
ACEL,2022-12-31,0.16,278.07
ACEL,2022-09-30,0.25,266.967
ACEL,2022-06-30,0.24,227.869
ACEL,2022-03-31,0.17,196.891
ACEL,2021-12-31,0.08,192.313
ACEL,2021-09-30,0.11,193.351
ACEL,2021-06-30,0.13,201.974
ACEL,2021-03-31,0.02,147.069
ACEL,2020-12-31,-0.111491,74.413
ACEL,2020-09-30,0.15,136.332
ACEL,2020-06-30,-0.27,0.379
ACEL,2020-03-31,-0.03,105.228
ACEL,2019-12-31,-0.04,424.385
ACEL,2019-09-30,-0.06,0.0
ACEL,2019-06-30,-0.03,0.0
ACEL,2019-03-31,0.04,0.0
ACEL,2018-12-31,0.04,0.0
ACEL,2018-09-30,0.03,0.0
ACEL,2018-06-30,0.03,0.0
ACEL,2018-03-31,0.02,0.0
