Symbol,Date,Eps,Revenue
ACET,2024-12-31,-0.32,0.0
ACET,2024-09-30,-0.34,0.0
ACET,2024-06-30,-0.33,0.0
ACET,2024-03-31,-0.35,0.0
ACET,2023-12-31,-0.68,0.0
ACET,2023-09-30,-1.16,0.0
ACET,2023-06-30,-0.75,0.0
ACET,2023-03-31,-0.72,0.0
ACET,2022-12-31,-0.72,0.0
ACET,2022-09-30,-0.53,0.0
ACET,2022-06-30,-0.56,0.0
ACET,2022-03-31,0.12,24.99
ACET,2021-12-31,-0.47,5.468
ACET,2021-09-30,-0.44,3.429
ACET,2021-06-30,-0.34,4.814
ACET,2021-03-31,-0.82,-3.981
ACET,2020-12-31,-0.46,5.41
ACET,2020-09-30,-2.84,3.028
ACET,2020-06-30,-0.431606,7.465
ACET,2020-03-31,-0.228999,2.0
ACET,2019-12-31,-0.33579,1.969
ACET,2019-09-30,-0.754378,-7.047
