Symbol,Date,Eps,Revenue
ACGL,2024-12-31,2.48,4510.0
ACGL,2024-09-30,2.62,4480.0
ACGL,2024-06-30,3.38,4062.0
ACGL,2024-03-31,2.99,3878.0
ACGL,2023-12-31,6.29,3787.0
ACGL,2023-09-30,1.93,3293.0
ACGL,2023-06-30,1.79,3096.0
ACGL,2023-03-31,1.92,3118.0
ACGL,2022-12-31,2.32,2951.721
ACGL,2022-09-30,0.02,2491.199
ACGL,2022-06-30,1.07,2268.74
ACGL,2022-03-31,0.5,1945.38
ACGL,2021-12-31,1.62,2251.511
ACGL,2021-09-30,1.0,2036.325
ACGL,2021-06-30,1.67,2427.758
ACGL,2021-03-31,1.07,2210.551
ACGL,2020-12-31,1.32,2225.035
ACGL,2020-09-30,1.01,2139.867
ACGL,2020-06-30,0.72,2320.352
ACGL,2020-03-31,0.33,1623.298
ACGL,2019-12-31,0.78,1664.109
ACGL,2019-09-30,0.95,1698.654
ACGL,2019-06-30,1.14,1741.652
ACGL,2019-03-31,1.09,1679.504
ACGL,2018-12-31,0.31,1383.481
ACGL,2018-09-30,0.54,1398.64
ACGL,2018-06-30,0.58,1456.043
ACGL,2018-03-31,0.336667,1236.165
