Symbol,Date,Eps,Revenue
ACHC,2024-12-31,0.36,774.238
ACHC,2024-09-30,0.74,815.634
ACHC,2024-06-30,0.86,796.04
ACHC,2024-03-31,0.84,768.051
ACHC,2023-12-31,0.63,742.8
ACHC,2023-09-30,-2.39,750.334
ACHC,2023-06-30,0.79,731.337
ACHC,2023-03-31,0.73,704.267
ACHC,2022-12-31,0.68,675.295
ACHC,2022-09-30,0.79,666.732
ACHC,2022-06-30,0.89,651.719
ACHC,2022-03-31,0.68,616.653
ACHC,2021-12-31,0.79,593.48
ACHC,2021-09-30,0.74,587.559
ACHC,2021-06-30,0.5,582.156
ACHC,2021-03-31,0.11,551.199
ACHC,2020-12-31,-8.91,-276.496
ACHC,2020-09-30,0.42,833.304
ACHC,2020-06-30,0.47,750.311
ACHC,2020-03-31,0.38,782.81
ACHC,2019-12-31,-0.13,780.232
ACHC,2019-09-30,0.49,777.251
ACHC,2019-06-30,0.55,789.362
ACHC,2019-03-31,0.34,760.617
ACHC,2018-12-31,-3.8,743.547
ACHC,2018-09-30,0.53,760.916
ACHC,2018-06-30,0.67,765.738
ACHC,2018-03-31,0.58,742.241
