Symbol,Date,Eps,Revenue
ACHV,2024-12-31,-0.36,0.0
ACHV,2024-09-30,-0.36,0.0
ACHV,2024-06-30,-0.25,0.0
ACHV,2024-03-31,-0.26,0.0
ACHV,2023-12-31,-0.24,0.0
ACHV,2023-09-30,-0.34,0.0
ACHV,2023-06-30,-0.43,0.0
ACHV,2023-03-31,-0.5,0.0
ACHV,2022-12-31,-0.83,0.0
ACHV,2022-09-30,-1.35,0.0
ACHV,2022-06-30,-1.08,0.0
ACHV,2022-03-31,-0.8,0.0
ACHV,2021-12-31,-0.76,0.0
ACHV,2021-09-30,-0.71,0.0
ACHV,2021-06-30,-1.53,0.0
ACHV,2021-03-31,-1.3,0.0
ACHV,2020-12-31,-0.772939,0.0
ACHV,2020-09-30,-1.14,0.0
ACHV,2020-06-30,-1.68,0.0
ACHV,2020-03-31,-2.2,0.0
ACHV,2019-12-31,-6.0,0.0
ACHV,2019-09-30,-9.0,0.0
ACHV,2019-06-30,-10.0,0.0
ACHV,2019-03-31,-17.6,0.0
ACHV,2018-06-30,-36.4,0.0
