Symbol,Date,Eps,Revenue
ACIU,2024-12-31,-0.16,1.137
ACIU,2024-09-30,0.06,25.485
ACIU,2024-06-30,-0.23,0.687
ACIU,2024-03-31,-0.18,0.0
ACIU,2023-12-31,-0.05,14.801
ACIU,2023-09-30,-0.18,0.0
ACIU,2023-06-30,-0.2,0.0
ACIU,2023-03-31,-0.21,0.0
ACIU,2022-12-31,-0.23,0.001
ACIU,2022-09-30,-0.16,3.934
ACIU,2022-06-30,-0.23,0.0
ACIU,2022-03-31,-0.23,0.0
ACIU,2021-12-31,-0.26,0.0
ACIU,2021-09-30,-0.22,0.0
ACIU,2021-06-30,-0.26,0.0
ACIU,2021-03-31,-0.23,0.0
ACIU,2020-12-31,-0.27,0.944
ACIU,2020-09-30,-0.26,1.123
ACIU,2020-06-30,-0.22,1.278
ACIU,2020-03-31,-0.11,12.411
ACIU,2019-12-31,-0.28,1.062
ACIU,2019-09-30,0.25,33.411
ACIU,2019-06-30,-0.24,1.511
ACIU,2019-03-31,0.94,75.042
ACIU,2018-12-31,-0.21,1.403
ACIU,2018-09-30,-0.21,2.305
ACIU,2018-06-30,-0.19,2.028
ACIU,2018-03-31,-0.2,1.458
