Symbol,Date,Eps,Revenue
ACIW,2024-12-31,0.94,453.038
ACIW,2024-09-30,0.78,451.752
ACIW,2024-06-30,0.29,373.479
ACIW,2024-03-31,-0.07,316.019
ACIW,2023-12-31,1.13,476.563
ACIW,2023-09-30,0.35,363.015
ACIW,2023-06-30,-0.06,323.325
ACIW,2023-03-31,-0.3,289.676
ACIW,2022-12-31,0.81,451.805
ACIW,2022-09-30,0.2,306.591
ACIW,2022-06-30,0.12,340.425
ACIW,2022-03-31,0.13,323.08
ACIW,2021-12-31,0.94,466.829
ACIW,2021-09-30,0.12,316.914
ACIW,2021-06-30,0.06,301.669
ACIW,2021-03-31,-0.02,285.186
ACIW,2020-12-31,0.57,387.044
ACIW,2020-09-30,0.14,315.883
ACIW,2020-06-30,0.12,299.91
ACIW,2020-03-31,-0.21,291.485
ACIW,2019-12-31,0.48,399.92
ACIW,2019-09-30,0.27,354.901
ACIW,2019-06-30,0.05,297.618
ACIW,2019-03-31,-0.22,205.855
ACIW,2018-12-31,0.76,319.95
ACIW,2018-09-30,0.13,245.525
ACIW,2018-06-30,-0.13,234.995
ACIW,2018-03-31,-0.17,209.31
