Symbol,Date,Eps,Revenue
ACI,2024-11-30,0.69,18774.5
ACI,2024-08-31,0.25,18551.5
ACI,2024-05-31,0.42,24265.4
ACI,2024-02-29,0.43,18339.5
ACI,2023-11-30,0.63,18557.3
ACI,2023-08-31,0.46,18290.7
ACI,2023-05-31,0.73,24050.2
ACI,2023-02-28,0.54,18265.1
ACI,2022-11-30,0.2,18154.9
ACI,2022-08-31,0.61,17919.4
ACI,2022-05-31,0.86,23310.3
ACI,2022-02-28,0.83,17383.5
ACI,2021-11-30,0.78,16728.4
ACI,2021-08-31,0.55,16505.7
ACI,2021-05-31,0.8,21269.4
ACI,2021-02-28,-0.37,15772.3
ACI,2020-11-30,0.21,15408.9
ACI,2020-08-31,0.52,15757.6
ACI,2020-05-31,1.21559,22751.6
ACI,2020-02-29,0.142,15436.8
ACI,2019-11-30,0.096479,14103.2
ACI,2019-08-31,0.519014,14176.7
ACI,2019-05-31,0.086268,18738.4
ACI,2019-02-28,0.238732,14016.6
ACI,2018-11-30,0.080282,13840.4
ACI,2018-08-31,-0.057042,14024.1
ACI,2018-05-31,-0.031162,18653.4
ACI,2018-02-28,0.683627,14033.7
