Symbol,Date,Eps,Revenue
ACLS,2024-12-31,1.54,252.417
ACLS,2024-09-30,1.49,256.564
ACLS,2024-06-30,1.56,256.512
ACLS,2024-03-31,1.58,252.372
ACLS,2023-12-31,2.17,310.288
ACLS,2023-09-30,2.01,292.326
ACLS,2023-06-30,1.88,273.97
ACLS,2023-03-31,1.46,254.02
ACLS,2022-12-31,1.74,266.051
ACLS,2022-09-30,1.22,229.175
ACLS,2022-06-30,1.34,221.177
ACLS,2022-03-31,1.25,203.595
ACLS,2021-12-31,1.07,205.684
ACLS,2021-09-30,0.82,176.694
ACLS,2021-06-30,0.56,147.274
ACLS,2021-03-31,0.49,132.776
ACLS,2020-12-31,0.44,122.199
ACLS,2020-09-30,0.32,110.405
ACLS,2020-06-30,0.4,122.965
ACLS,2020-03-31,0.34,118.991
ACLS,2019-12-31,0.3,107.723
ACLS,2019-09-30,0.02,69.453
ACLS,2019-06-30,0.02,74.305
ACLS,2019-03-31,0.19,91.477
ACLS,2018-12-31,0.26,105.683
ACLS,2018-09-30,0.27,95.374
ACLS,2018-06-30,0.46,119.333
ACLS,2018-03-31,0.43,122.185
