Symbol,Date,Eps,Revenue
ACMR,2024-12-31,0.49,223.471
ACMR,2024-09-30,0.49,203.976
ACMR,2024-06-30,0.39,202.48
ACMR,2024-03-31,0.28,152.191
ACMR,2023-12-31,0.29,170.321
ACMR,2023-09-30,0.43,168.569
ACMR,2023-06-30,0.45,144.577
ACMR,2023-03-31,0.12,74.256
ACMR,2022-12-31,0.2,108.542
ACMR,2022-09-30,0.35,133.709
ACMR,2022-06-30,0.21,104.395
ACMR,2022-03-31,-0.1,42.186
ACMR,2021-12-31,0.266667,95.142
ACMR,2021-09-30,0.173333,67.013
ACMR,2021-06-30,0.113333,53.864
ACMR,2021-03-31,0.096667,43.732
ACMR,2020-12-31,0.153333,45.562
ACMR,2020-09-30,0.156667,47.665
ACMR,2020-06-30,-0.001496,39.049
ACMR,2020-03-31,0.03,24.348
ACMR,2019-12-31,0.073333,24.608
ACMR,2019-09-30,0.173333,33.427
ACMR,2019-06-30,0.09,29.01
ACMR,2019-03-31,0.04,20.479
ACMR,2018-12-31,0.046667,20.848
ACMR,2018-09-30,0.08,23.179
ACMR,2018-06-30,0.066667,20.873
ACMR,2018-03-31,-0.06,9.743
