Symbol,Date,Eps,Revenue
ACM,2024-12-31,1.26,4014.152
ACM,2024-09-30,1.29,4110.494
ACM,2024-06-30,0.99,4151.251
ACM,2024-03-31,0.01,3943.833
ACM,2023-12-31,0.69,3899.92
ACM,2023-09-30,0.18,3842.385
ACM,2023-06-30,-0.97,3663.549
ACM,2023-03-31,0.55,3490.172
ACM,2022-12-31,0.63,3382.355
ACM,2022-09-30,0.76,3426.113
ACM,2022-06-30,0.72,3241.695
ACM,2022-03-31,0.29,3213.658
ACM,2021-12-31,0.43,3266.716
ACM,2021-09-30,0.67,3353.767
ACM,2021-06-30,0.08,3408.357
ACM,2021-03-31,0.27,3265.573
ACM,2020-12-31,0.17,3313.155
ACM,2020-09-30,-1.44,3568.95
ACM,2020-06-30,0.56,3189.679
ACM,2020-03-31,-0.54,3245.737
ACM,2019-12-31,0.26,3235.61
ACM,2019-09-30,-3.01,5115.608
ACM,2019-06-30,0.53,4980.204
ACM,2019-03-31,0.5,5040.022
ACM,2018-12-31,0.33,5037.495
ACM,2018-09-30,0.53,5305.85
ACM,2018-06-30,0.38,5147.92
ACM,2018-03-31,-0.75,4790.91
