Symbol,Date,Eps,Revenue
ACNB,2024-09-30,0.85,27.775
ACNB,2024-06-30,1.32,27.391
ACNB,2024-03-31,0.8,26.26
ACNB,2023-12-31,0.48,22.463
ACNB,2023-09-30,1.06,28.028
ACNB,2023-06-30,1.12,27.861
ACNB,2023-03-31,1.06,28.076
ACNB,2022-12-31,1.2,29.05
ACNB,2022-09-30,1.2,28.369
ACNB,2022-06-30,0.99,25.88
ACNB,2022-03-31,0.76,21.512
ACNB,2021-12-31,0.52,22.983
ACNB,2021-09-30,0.84,23.274
ACNB,2021-06-30,0.98,24.525
ACNB,2021-03-31,0.86,23.238
ACNB,2020-12-31,0.81,24.765
ACNB,2020-09-30,0.79,23.378
ACNB,2020-06-30,0.67,23.238
ACNB,2020-03-31,-0.14,21.621
ACNB,2019-12-31,0.72,19.206
ACNB,2019-09-30,0.89,19.986
ACNB,2019-06-30,0.92,19.79
ACNB,2019-03-31,0.83,18.605
ACNB,2018-12-31,0.75,18.823
ACNB,2018-09-30,0.86,18.538
ACNB,2018-06-30,0.78,18.408
ACNB,2018-03-31,0.7,17.274
