Symbol,Date,Eps,Revenue
ACNT,2024-12-31,-0.1,40.671
ACNT,2024-09-30,-0.61,42.901
ACNT,2024-06-30,-0.09,50.189
ACNT,2024-03-31,-0.54,44.11
ACNT,2023-12-31,1.1,8.982
ACNT,2023-09-30,-1.77,56.113
ACNT,2023-06-30,-1.44,60.665
ACNT,2023-03-31,-0.51,82.452
ACNT,2022-12-31,0.01,81.56
ACNT,2022-09-30,0.06,100.167
ACNT,2022-06-30,1.08,116.202
ACNT,2022-03-31,1.0,116.218
ACNT,2021-12-31,0.85,95.668
ACNT,2021-09-30,0.88,86.182
ACNT,2021-06-30,0.31,83.087
ACNT,2021-03-31,0.12,69.778
ACNT,2020-12-31,-0.94,55.901
ACNT,2020-09-30,-1.16,59.266
ACNT,2020-06-30,-0.77,66.136
ACNT,2020-03-31,-0.13,74.697
ACNT,2019-12-31,-0.1,67.946281
ACNT,2019-09-30,-0.11,73.639911
ACNT,2019-06-30,-0.03,78.777976
ACNT,2019-03-31,-0.1,84.803832
ACNT,2018-12-31,0.06,72.674176
ACNT,2018-09-30,0.57,77.792878
ACNT,2018-06-30,0.42,71.893763
ACNT,2018-03-31,0.44,58.480602
