Symbol,Date,Eps,Revenue
ACN,2024-11-30,3.64,17689.545
ACN,2024-08-31,2.69,16405.819
ACN,2024-05-31,3.07,16466.828
ACN,2024-02-29,2.66,15799.514
ACN,2023-11-30,3.14,16224.303
ACN,2023-08-31,2.18,15985.2
ACN,2023-05-31,3.18,16564.585
ACN,2023-02-28,2.42,15814.158
ACN,2022-11-30,3.12,15747.802
ACN,2022-08-31,2.63,15423.656
ACN,2022-05-31,2.82,16158.803
ACN,2022-02-28,2.58,15046.693
ACN,2021-11-30,2.83,14965.153
ACN,2021-08-31,2.24,13419.284
ACN,2021-05-31,2.44,13263.795
ACN,2021-02-28,2.27,12088.125
ACN,2020-11-30,2.37,11762.185
ACN,2020-08-31,2.03,10835.271
ACN,2020-05-31,1.93,10991.305
ACN,2020-02-29,1.94,11141.505
ACN,2019-11-30,2.13,11358.958
ACN,2019-08-31,1.77,11055.65
ACN,2019-05-31,1.96,11099.688
ACN,2019-02-28,1.76,10454.129
ACN,2018-11-30,2.0,10605.546
ACN,2018-08-31,1.61,10642.249
ACN,2018-05-31,1.63,10838.854
ACN,2018-02-28,1.4,10067.832
