Symbol,Date,Eps,Revenue
ACRE,2024-12-31,-0.2,-0.49
ACRE,2024-09-30,-0.11,10.887
ACRE,2024-06-30,-0.11,0.41
ACRE,2024-03-31,-0.23,-26.039
ACRE,2023-12-31,-0.73,16.557
ACRE,2023-09-30,0.17,18.997
ACRE,2023-06-30,-0.04,24.99
ACRE,2023-03-31,-0.12,20.888
ACRE,2022-12-31,0.05,30.409
ACRE,2022-09-30,0.01,27.271
ACRE,2022-06-30,0.2,25.146
ACRE,2022-03-31,0.34,26.22
ACRE,2021-12-31,0.36,30.111
ACRE,2021-09-30,0.21,27.204
ACRE,2021-06-30,0.43,23.531
ACRE,2021-03-31,0.46,21.223
ACRE,2020-12-31,0.43,21.206
ACRE,2020-09-30,0.45,22.364
ACRE,2020-06-30,0.29,13.984
ACRE,2020-03-31,-0.54,21.134
ACRE,2019-12-31,0.34,21.58
ACRE,2019-09-30,0.32,19.847
ACRE,2019-06-30,0.34,21.675
ACRE,2019-03-31,0.3,14.157
ACRE,2018-12-31,0.35,14.526
ACRE,2018-09-30,0.35,13.984
ACRE,2018-06-30,0.33,13.636
ACRE,2018-03-31,0.33,13.137
