Symbol,Date,Eps,Revenue
ACRS,2024-12-31,-1.21,9.211
ACRS,2024-09-30,-0.11,4.346
ACRS,2024-06-30,-0.15,2.766
ACRS,2024-03-31,-0.24,2.398
ACRS,2023-12-31,-0.02,17.57
ACRS,2023-09-30,-0.41,9.282
ACRS,2023-06-30,-0.42,1.869
ACRS,2023-03-31,-0.42,2.528
ACRS,2022-12-31,-0.41,7.753
ACRS,2022-09-30,-0.3,19.018
ACRS,2022-06-30,-0.31,1.528
ACRS,2022-03-31,-0.31,1.453
ACRS,2021-12-31,-0.37,1.501
ACRS,2021-09-30,-0.35,1.659
ACRS,2021-06-30,-0.34,1.824
ACRS,2021-03-31,-0.57,1.777
ACRS,2020-12-31,-0.3,1.58
ACRS,2020-09-30,-0.25,1.449
ACRS,2020-06-30,-0.28,2.046
ACRS,2020-03-31,-0.37,1.407
ACRS,2019-12-31,-0.45,1.095
ACRS,2019-09-30,-1.34,0.983
ACRS,2019-06-30,-1.21,5.865
ACRS,2019-03-31,-0.91,5.041
ACRS,2018-12-31,-0.99,3.669
ACRS,2018-09-30,-1.06,1.628
ACRS,2018-06-30,-1.01,3.676
ACRS,2018-03-31,-0.98,1.118
