Symbol,Date,Eps,Revenue
ACR,2024-09-30,0.37,25.155
ACR,2024-06-30,0.22,20.936
ACR,2024-03-31,0.07,24.603
ACR,2023-12-31,0.2,22.445
ACR,2023-09-30,0.34,24.006
ACR,2023-06-30,0.1,23.622
ACR,2023-03-31,-0.28,21.803
ACR,2022-12-31,-0.85,23.241
ACR,2022-09-30,0.08,22.806
ACR,2022-06-30,0.08,20.07
ACR,2022-03-31,-0.3,10.923
ACR,2021-12-31,0.76,15.445
ACR,2021-09-30,-1.03,12.096
ACR,2021-06-30,1.04,9.839
ACR,2021-03-31,1.03,13.573
ACR,2020-12-31,2.151935,1.487
ACR,2020-09-30,0.510001,11.72
ACR,2020-06-30,-3.420003,13.734
ACR,2020-03-31,-18.900019,-174.229
ACR,2019-12-31,0.36,11.174
ACR,2019-09-30,0.960001,16.55
ACR,2019-06-30,0.600001,14.287
ACR,2019-03-31,0.540001,14.461
ACR,2018-12-31,0.720001,13.817
ACR,2018-09-30,0.570001,13.23
ACR,2018-06-30,0.600001,14.652
ACR,2018-03-31,-1.200001,6.166
