Symbol,Date,Eps,Revenue
ACT,2024-12-31,1.06,304.691
ACT,2024-09-30,1.16,309.588
ACT,2024-06-30,1.17,298.834
ACT,2024-03-31,1.01,291.587
ACT,2023-12-31,0.99,296.19
ACT,2023-09-30,1.03,299.035
ACT,2023-06-30,1.04,277.522
ACT,2023-03-31,1.08,280.939
ACT,2022-12-31,0.88,276.669
ACT,2022-09-30,1.17,275.075
ACT,2022-06-30,1.26,273.541
ACT,2022-03-31,1.01,269.415
ACT,2021-12-31,0.95,272.881
ACT,2021-09-30,0.84,280.44
ACT,2021-06-30,0.803316,277.423
ACT,2021-03-31,0.768429,289.436
ACT,2020-12-31,0.559942,285.514
ACT,2020-09-30,0.84755,284.336
