Symbol,Date,Eps,Revenue
ACU,2024-12-31,0.46,45.942991
ACU,2024-09-30,0.6,48.166
ACU,2024-06-30,1.21,55.425
ACU,2024-03-31,0.45,44.956
ACU,2023-12-31,3.1,41.941947
ACU,2023-09-30,0.6,50.384
ACU,2023-06-30,0.97,53.336
ACU,2023-03-31,0.28,45.838
ACU,2022-12-31,-0.17,44.113357
ACU,2022-09-30,0.02,49.744
ACU,2022-06-30,0.78,56.773
ACU,2022-03-31,0.24,43.333
ACU,2021-12-31,0.66,45.792559
ACU,2021-09-30,0.58,47.923
ACU,2021-06-30,2.16,44.847
ACU,2021-03-31,0.61,43.525
ACU,2020-12-31,0.61,40.87004
ACU,2020-09-30,0.47,43.316
ACU,2020-06-30,0.96,44.042
ACU,2020-03-31,0.38,35.775
ACU,2019-12-31,0.29,33.872342
ACU,2019-09-30,0.32,36.995
ACU,2019-06-30,0.8,40.22
ACU,2019-03-31,0.24,31.37
ACU,2018-12-31,0.18,31.130395
ACU,2018-09-30,0.24,34.731
ACU,2018-06-30,0.72,39.751
ACU,2018-03-31,0.23,31.709
