Symbol,Date,Eps,Revenue
ACVA,2024-12-31,-0.16,159.514
ACVA,2024-09-30,-0.1,171.329
ACVA,2024-06-30,-0.1,160.624
ACVA,2024-03-31,-0.13,145.689
ACVA,2023-12-31,-0.14,118.377
ACVA,2023-09-30,-0.11,119.014
ACVA,2023-06-30,-0.1,124.217
ACVA,2023-03-31,-0.11,119.626
ACVA,2022-12-31,-0.15,97.973
ACVA,2022-09-30,-0.15,105.419
ACVA,2022-06-30,-0.16,115.072
ACVA,2022-03-31,-0.19,103.065
ACVA,2021-12-31,-0.17,100.177
ACVA,2021-09-30,-0.16,91.798
ACVA,2021-06-30,-0.06,97.374
ACVA,2021-03-31,-0.51,69.086
ACVA,2020-12-31,-0.079526,53.763
ACVA,2020-09-30,0.023619,67.46
ACVA,2020-06-30,-0.032867,44.897
ACVA,2020-03-31,-0.205795,42.237
