Symbol,Date,Eps,Revenue
ACXP,2024-09-30,-0.17,0.0
ACXP,2024-06-30,-0.26,0.0
ACXP,2024-03-31,-0.28,0.0
ACXP,2023-12-31,-0.38,0.0
ACXP,2023-09-30,-0.24,0.0
ACXP,2023-06-30,-0.28,0.0
ACXP,2023-03-31,-0.25,0.0
ACXP,2022-12-31,-0.28,0.0
ACXP,2022-09-30,-0.32,0.0
ACXP,2022-06-30,-0.26,0.0
ACXP,2022-03-31,-0.26,0.0
ACXP,2021-12-31,-0.22,0.0
ACXP,2021-09-30,-0.46,0.0
ACXP,2021-06-30,-0.57,0.0
ACXP,2021-03-31,-0.155,0.0
ACXP,2020-12-31,-0.11456,0.0
ACXP,2020-09-30,-0.137776,0.0
ACXP,2020-06-30,-0.095728,0.0
ACXP,2020-03-31,-0.134061,0.0
