Symbol,Date,Eps,Revenue
AC,2024-09-30,1.09,2.415
AC,2024-06-30,0.14,2.595
AC,2024-03-31,0.64,3.011
AC,2023-12-31,0.76,5.636
AC,2023-09-30,-0.000738,2.2
AC,2023-06-30,0.15,2.382
AC,2023-03-31,0.81,2.465
AC,2022-12-31,0.62,7.538
AC,2022-09-30,-0.75,2.562
AC,2022-06-30,-1.36,2.546
AC,2022-03-31,-0.73,2.582
AC,2021-12-31,0.43,13.998
AC,2021-09-30,0.07,2.112
AC,2021-06-30,1.34,2.489
AC,2021-03-31,0.83,2.325
AC,2020-12-31,2.29,12.009
AC,2020-09-30,0.26,1.945
AC,2020-06-30,1.57,3.137
AC,2020-03-31,-3.27,4.369
AC,2019-12-31,0.49,16.674
AC,2019-09-30,0.26,5.118
AC,2019-06-30,-0.04,4.821
AC,2019-03-31,1.02,4.652
AC,2018-12-31,-1.77,8.614
AC,2018-09-30,-0.32,4.666
AC,2018-06-30,0.51,4.796
AC,2018-03-31,-0.95,4.703
