Symbol,Date,Eps,Revenue
ADAP,2024-09-30,-0.06,40.901
ADAP,2024-06-30,0.3,128.231
ADAP,2024-03-31,-0.18,5.678
ADAP,2023-12-31,-0.18,0.231
ADAP,2023-09-30,-0.18,7.319
ADAP,2023-06-30,-0.12,5.13
ADAP,2023-03-31,0.00627,47.601
ADAP,2022-12-31,-0.18,11.028
ADAP,2022-09-30,-0.24,7.007
ADAP,2022-06-30,-0.3,5.538
ADAP,2022-03-31,-0.3,3.575
ADAP,2021-12-31,-0.24,1.417
ADAP,2021-09-30,-0.3,1.203
ADAP,2021-06-30,-0.24,3.095
ADAP,2021-03-31,-0.24,0.434
ADAP,2020-12-31,-0.24,1.502
ADAP,2020-09-30,-0.24,1.193
ADAP,2020-06-30,-0.24,0.502
ADAP,2020-03-31,-0.24,0.761
ADAP,2019-12-31,-0.3,0.728
ADAP,2019-09-30,-0.36,0.237
ADAP,2019-06-30,-0.42,0.157
ADAP,2019-03-31,-0.24,0.0
ADAP,2018-12-31,-0.36,1.479
ADAP,2018-09-30,0.06,40.792
ADAP,2018-06-30,-0.48,9.038
ADAP,2018-03-31,-0.24,8.196
ADAP,2017-12-31,-0.3,4.27
