Symbol,Date,Eps,Revenue
ADBE,2024-11-30,3.81,5606.0
ADBE,2024-08-31,3.78,5408.0
ADBE,2024-05-31,3.5,5309.0
ADBE,2024-02-29,1.37,5182.0
ADBE,2023-11-30,3.26,5048.0
ADBE,2023-08-31,3.07,4890.0
ADBE,2023-05-31,2.83,4816.0
ADBE,2023-02-28,2.72,4655.0
ADBE,2022-11-30,2.53,4525.0
ADBE,2022-08-31,2.42,4433.0
ADBE,2022-05-31,2.5,4386.0
ADBE,2022-02-28,2.68,4262.0
ADBE,2021-11-30,2.59,4110.0
ADBE,2021-08-31,2.54,3935.0
ADBE,2021-05-31,2.34,3835.0
ADBE,2021-02-28,2.63,3905.0
ADBE,2020-11-30,4.69,3424.0
ADBE,2020-08-31,1.99,3225.0
ADBE,2020-05-31,2.28,3128.0
ADBE,2020-02-29,1.98,3091.0
ADBE,2019-11-30,1.76,2991.945
ADBE,2019-08-31,1.63,2834.126
ADBE,2019-05-31,1.3,2744.28
ADBE,2019-02-28,1.38,2600.946
ADBE,2018-11-30,1.39,2464.625
ADBE,2018-08-31,1.36,2291.076
ADBE,2018-05-31,1.35,2195.36
