Symbol,Date,Eps,Revenue
ADCT,2024-09-30,-0.42,18.464
ADCT,2024-06-30,-0.38,17.41
ADCT,2024-03-31,-0.56,18.053
ADCT,2023-12-31,-1.05,16.79
ADCT,2023-09-30,-0.58,14.493
ADCT,2023-06-30,-0.58,19.283
ADCT,2023-03-31,-0.74,18.992
ADCT,2022-12-31,-0.3,69.798
ADCT,2022-09-30,-0.65,76.321
ADCT,2022-06-30,-0.84,17.291
ADCT,2022-03-31,-0.22,46.498
ADCT,2021-12-31,-0.45,17.01
ADCT,2021-09-30,-0.93,13.147
ADCT,2021-06-30,-0.95,3.76
ADCT,2021-03-31,-0.67,0.0
ADCT,2020-12-31,-0.73,0.0
ADCT,2020-09-30,-0.29,0.0
ADCT,2020-06-30,-2.01,0.0
ADCT,2020-03-31,-0.593513,0.0
ADCT,2019-12-31,-0.481693,0.0
ADCT,2019-09-30,-0.427852,0.0
ADCT,2019-06-30,-0.318735,1.962
