Symbol,Date,Eps,Revenue
ADC,2024-12-31,0.42,160.734
ADC,2024-09-30,0.42,154.332
ADC,2024-06-30,0.53,152.575
ADC,2024-03-31,0.43,149.453
ADC,2023-12-31,0.44,144.165
ADC,2023-09-30,0.41,136.812
ADC,2023-06-30,0.42,129.9
ADC,2023-03-31,0.44,126.618
ADC,2022-12-31,0.44,116.531
ADC,2022-09-30,0.47,110.065
ADC,2022-06-30,0.45,104.876
ADC,2022-03-31,0.48,98.342
ADC,2021-12-31,0.44,91.412
ADC,2021-09-30,0.52,87.537
ADC,2021-06-30,0.34,82.546
ADC,2021-03-31,0.48,77.829
ADC,2020-12-31,0.43,71.415
ADC,2020-09-30,0.39,63.81
ADC,2020-06-30,0.47,57.535
ADC,2020-03-31,0.47,55.809
ADC,2019-12-31,0.53,52.136
ADC,2019-09-30,0.49,48.075
ADC,2019-06-30,0.45,44.92
ADC,2019-03-31,0.49,42.348
ADC,2018-12-31,0.38,40.702
ADC,2018-09-30,0.49,37.306
ADC,2018-06-30,0.42,35.711
ADC,2018-03-31,0.53,34.569
