Symbol,Date,Eps,Revenue
ADI,2025-01-31,0.79,2423.174
ADI,2024-10-31,0.96,2443.205
ADI,2024-07-31,0.79,2312.209
ADI,2024-04-30,0.61,2159.039
ADI,2024-01-31,0.93,2512.704
ADI,2023-10-31,1.0,2716.484
ADI,2023-07-31,1.75,3076.495
ADI,2023-04-30,1.94,3262.93
ADI,2023-01-31,1.9,3249.63
ADI,2022-10-31,1.83,3247.716
ADI,2022-07-31,1.45,3109.88
ADI,2022-04-30,1.5,2972.064
ADI,2022-01-31,0.53,2684.293
ADI,2021-10-31,0.16,2339.568
ADI,2021-07-31,1.37,1758.853
ADI,2021-04-30,1.15,1661.407
ADI,2021-01-31,1.05,1558.458
ADI,2020-10-31,1.05,1526.295
ADI,2020-07-31,0.98,1456.136
ADI,2020-04-30,0.73,1317.06
ADI,2020-01-31,0.55,1303.565
ADI,2019-10-31,0.75,1443.219
ADI,2019-07-31,0.98,1480.143
ADI,2019-04-30,0.99,1526.602
ADI,2019-01-31,0.96,1541.101
ADI,2018-10-31,1.16,1596.586
ADI,2018-07-31,1.11,1572.679
ADI,2018-04-30,1.02,1513.053
