Symbol,Date,Eps,Revenue
ADMA,2024-09-30,0.15,119.839
ADMA,2024-06-30,0.14,107.191
ADMA,2024-03-31,0.08,81.875
ADMA,2023-12-31,-0.08,73.903677
ADMA,2023-09-30,0.01,67.274598
ADMA,2023-06-30,-0.03,60.123191
ADMA,2023-03-31,-0.03,56.913534
ADMA,2022-12-31,-0.06,49.981455
ADMA,2022-09-30,-0.08,41.090137
ADMA,2022-06-30,-0.07,33.905007
ADMA,2022-03-31,-0.13,29.103093
ADMA,2021-12-31,-0.09,26.382867
ADMA,2021-09-30,-0.13,20.68055
ADMA,2021-06-30,-0.15,17.83059
ADMA,2021-03-31,-0.16,16.048618
ADMA,2020-12-31,-0.2,13.956087
ADMA,2020-09-30,-0.19,10.276358
ADMA,2020-06-30,-0.23,7.787594
ADMA,2020-03-31,-0.26,10.199744
ADMA,2019-12-31,-0.18,12.037049
ADMA,2019-09-30,-0.19,7.222503
ADMA,2019-06-30,-0.25,6.560942
ADMA,2019-03-31,-0.28,3.528589
ADMA,2018-12-31,-0.39,4.056424
ADMA,2018-09-30,-0.33,4.23031
ADMA,2018-06-30,-0.35,4.65655
ADMA,2018-03-31,-0.39,4.042006
