Symbol,Date,Eps,Revenue
ADM,2024-12-31,1.186192,21498.0
ADM,2024-09-30,0.04,19937.0
ADM,2024-06-30,0.99,22248.0
ADM,2024-03-31,1.42,21847.0
ADM,2023-12-31,1.08,22978.0
ADM,2023-09-30,1.52,21695.0
ADM,2023-06-30,1.7,25190.0
ADM,2023-03-31,2.13,24072.0
ADM,2022-12-31,1.862888,25939.0
ADM,2022-09-30,1.84,24683.0
ADM,2022-06-30,2.18,27284.0
ADM,2022-03-31,1.86,23650.0
ADM,2021-12-31,1.396429,23090.0
ADM,2021-09-30,0.93,20340.0
ADM,2021-06-30,1.26,22926.0
ADM,2021-03-31,1.22,18893.0
ADM,2020-12-31,1.235612,17978.0
ADM,2020-09-30,0.4,15126.0
ADM,2020-06-30,0.84,16281.0
ADM,2020-03-31,0.69,14970.0
ADM,2019-12-31,0.904847,16329.0
ADM,2019-09-30,0.72,16726.0
ADM,2019-06-30,0.42,16297.0
ADM,2019-03-31,0.41,15304.0
ADM,2018-12-31,0.563506,15947.0
ADM,2018-09-30,0.95,15800.0
ADM,2018-06-30,1.0,17068.0
ADM,2018-03-31,0.7,15526.0
