Symbol,Date,Eps,Revenue
ADNT,2024-12-31,0.0,3495.0
ADNT,2024-09-30,0.918605,3562.0
ADNT,2024-06-30,-0.12,3716.0
ADNT,2024-03-31,-0.77,3750.0
ADNT,2023-12-31,0.22,3660.0
ADNT,2023-09-30,1.440768,3729.0
ADNT,2023-06-30,0.78,4055.0
ADNT,2023-03-31,-0.16,3912.0
ADNT,2022-12-31,0.13,3699.0
ADNT,2022-09-30,0.474393,3650.0
ADNT,2022-06-30,-0.32,3485.0
ADNT,2022-03-31,-0.85,3506.0
ADNT,2021-12-31,-0.57,3480.0
ADNT,2021-09-30,10.169492,2771.0
ADNT,2021-06-30,-0.75,3242.0
ADNT,2021-03-31,0.73,3819.0
ADNT,2020-12-31,1.6,3848.0
ADNT,2020-09-30,-0.383387,3597.0
ADNT,2020-06-30,-3.46,1626.0
ADNT,2020-03-31,-0.2,3511.0
ADNT,2019-12-31,-1.78,3936.0
ADNT,2019-09-30,-0.04,3921.0
ADNT,2019-06-30,-3.43,4219.0
ADNT,2019-03-31,-1.59,4228.0
ADNT,2018-12-31,-0.18,4158.0
ADNT,2018-09-30,-14.52,4145.0
ADNT,2018-06-30,0.58,4494.0
ADNT,2018-03-31,-1.8,4596.0
