Symbol,Date,Eps,Revenue
ADPT,2024-12-31,-0.23,47.459
ADPT,2024-09-30,-0.22,46.435
ADPT,2024-06-30,-0.31,43.19
ADPT,2024-03-31,-0.33,41.873
ADPT,2023-12-31,-0.48,45.784
ADPT,2023-09-30,-0.35,37.919
ADPT,2023-06-30,-0.33,48.926
ADPT,2023-03-31,-0.4,37.647
ADPT,2022-12-31,-0.28,55.198
ADPT,2022-09-30,-0.32,47.83
ADPT,2022-06-30,-0.37,43.66
ADPT,2022-03-31,-0.44,38.62
ADPT,2021-12-31,-0.43,37.93
ADPT,2021-09-30,-0.4,39.467
ADPT,2021-06-30,-0.35,38.505
ADPT,2021-03-31,-0.29,38.442
ADPT,2020-12-31,-0.33,30.185
ADPT,2020-09-30,-0.27,26.299
ADPT,2020-06-30,-0.26,20.988
ADPT,2020-03-31,-0.25,20.91
ADPT,2019-12-31,-0.17,24.209
ADPT,2019-09-30,-0.11,26.058
ADPT,2019-06-30,-1.23,22.138
ADPT,2019-03-31,-0.18,12.666
ADPT,2018-12-31,-0.124357,17.192
ADPT,2018-09-30,-0.078352,17.188
ADPT,2018-06-30,-0.11801,11.568
ADPT,2018-03-31,-0.11699,9.715
