Symbol,Date,Eps,Revenue
ADP,2024-12-31,2.36,4775.6
ADP,2024-09-30,2.34,4579.4
ADP,2024-06-30,2.03,4491.7
ADP,2024-03-31,2.89,4933.0
ADP,2023-12-31,2.14,4442.7
ADP,2023-09-30,2.09,4310.7
ADP,2023-06-30,1.88,4242.1
ADP,2023-03-31,2.52,4678.4
ADP,2022-12-31,1.96,4203.8
ADP,2022-09-30,1.88,4074.6
ADP,2022-06-30,1.5,4000.9
ADP,2022-03-31,2.22,4395.0
ADP,2021-12-31,1.65,3919.4
ADP,2021-09-30,1.66,3731.2
ADP,2021-06-30,1.27,3633.8
ADP,2021-03-31,1.9,3994.6
ADP,2020-12-31,1.51,3590.3
ADP,2020-09-30,1.4,3364.2
ADP,2020-06-30,0.96,3262.0
ADP,2020-03-31,1.91,3888.9
ADP,2019-12-31,1.51,3531.8
ADP,2019-09-30,1.35,3361.8
ADP,2019-06-30,1.1,3351.8
ADP,2019-03-31,1.74,3680.0
ADP,2018-12-31,1.28,3376.8
ADP,2018-09-30,1.16,3204.7
ADP,2018-06-30,0.25,3193.0
ADP,2018-03-31,1.46,3558.2
