Symbol,Date,Eps,Revenue
A,2025-01-31,1.12,1681.0
A,2024-10-31,1.23,1701.0
A,2024-07-31,0.97,1578.0
A,2024-04-30,1.05,1573.0
A,2024-01-31,1.19,1658.0
A,2023-10-31,1.63,1688.0
A,2023-07-31,0.38,1672.0
A,2023-04-30,1.02,1717.0
A,2023-01-31,1.19,1756.0
A,2022-10-31,1.24,1849.0
A,2022-07-31,1.1,1718.0
A,2022-04-30,0.92,1607.0
A,2022-01-31,0.94,1674.0
A,2021-10-31,1.46,1660.0
A,2021-07-31,0.87,1586.0
A,2021-04-30,0.71,1525.0
A,2021-01-31,0.94,1548.0
A,2020-10-31,0.72,1483.0
A,2020-07-31,0.64,1261.0
A,2020-04-30,0.33,1238.0
A,2020-01-31,0.64,1357.0
A,2019-10-31,0.63,1367.0
A,2019-07-31,0.61,1274.0
A,2019-04-30,0.57,1238.0
A,2019-01-31,1.58,1284.0
A,2018-10-31,0.61,1294.0
A,2018-07-31,0.74,1203.0
A,2018-04-30,0.64,1206.0
