Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Capital Gains
2025-05-22 00:00:00-04:00,39.25,40.26,37.02,37.56,7935110,0.0,0.0,HNGE,
2025-05-23 00:00:00-04:00,37.89,40.88,36.73,40.16,2378481,0.0,0.0,HNGE,
2025-05-22 00:00:00-04:00,21.0,26.88,20.76,26.36,10405280,0.0,0.0,MNTN,
2025-05-23 00:00:00-04:00,25.93,32.49,24.56,27.71,3517111,0.0,0.0,MNTN,
2025-04-02 00:00:00-04:00,4.95,13.2,3.5,3.83,6538889,0.0,0.0,TOPW,
2025-04-03 00:00:00-04:00,2.67,2.9,1.8,2.76,2121190,0.0,0.0,TOPW,
2025-04-04 00:00:00-04:00,2.25,2.66,2.1,2.36,731355,0.0,0.0,TOPW,
2025-04-07 00:00:00-04:00,2.2,2.46,2.1,2.1,609888,0.0,0.0,TOPW,
2025-04-08 00:00:00-04:00,2.23,2.94,2.15,2.23,1954243,0.0,0.0,TOPW,
2025-04-09 00:00:00-04:00,2.15,2.41,1.93,2.22,886505,0.0,0.0,TOPW,
2025-04-10 00:00:00-04:00,2.38,2.38,2.06,2.37,422001,0.0,0.0,TOPW,
2025-04-11 00:00:00-04:00,2.2,2.35,2.13,2.23,280251,0.0,0.0,TOPW,
2025-04-14 00:00:00-04:00,2.25,2.63,2.11,2.37,909240,0.0,0.0,TOPW,
2025-04-15 00:00:00-04:00,2.3,3.15,2.16,2.86,1075792,0.0,0.0,TOPW,
2025-04-16 00:00:00-04:00,2.84,3.29,2.55,2.63,682642,0.0,0.0,TOPW,
2025-04-17 00:00:00-04:00,2.5,2.99,2.5,2.55,294552,0.0,0.0,TOPW,
2025-04-21 00:00:00-04:00,2.6,2.78,2.42,2.42,221543,0.0,0.0,TOPW,
2025-04-22 00:00:00-04:00,2.4,2.62,2.35,2.57,160428,0.0,0.0,TOPW,
2025-04-23 00:00:00-04:00,2.52,2.87,2.5,2.65,136658,0.0,0.0,TOPW,
2025-04-24 00:00:00-04:00,2.8,2.8,2.35,2.5,134152,0.0,0.0,TOPW,
2025-04-25 00:00:00-04:00,2.68,2.69,2.47,2.58,140641,0.0,0.0,TOPW,
2025-04-28 00:00:00-04:00,2.51,2.65,2.38,2.55,112427,0.0,0.0,TOPW,
2025-04-29 00:00:00-04:00,2.5,2.6,2.4,2.53,55703,0.0,0.0,TOPW,
2025-04-30 00:00:00-04:00,2.42,2.62,2.42,2.58,103627,0.0,0.0,TOPW,
2025-05-01 00:00:00-04:00,2.48,2.63,2.38,2.38,54149,0.0,0.0,TOPW,
2025-05-02 00:00:00-04:00,2.39,2.59,2.22,2.49,109612,0.0,0.0,TOPW,
2025-05-05 00:00:00-04:00,2.59,3.27,2.5,2.99,487096,0.0,0.0,TOPW,
2025-05-06 00:00:00-04:00,2.95,3.82,2.91,3.71,545623,0.0,0.0,TOPW,
2025-05-07 00:00:00-04:00,3.74,4.43,3.37,3.43,242565,0.0,0.0,TOPW,
2025-05-08 00:00:00-04:00,3.5,4.19,3.45,4.1,164517,0.0,0.0,TOPW,
2025-05-09 00:00:00-04:00,4.0,4.1,3.71,3.84,73870,0.0,0.0,TOPW,
2025-05-12 00:00:00-04:00,4.05,6.64,4.01,6.0,2448505,0.0,0.0,TOPW,
2025-05-13 00:00:00-04:00,6.01,6.42,5.48,5.75,247310,0.0,0.0,TOPW,
2025-05-14 00:00:00-04:00,6.0,7.16,6.0,6.55,431450,0.0,0.0,TOPW,
2025-05-15 00:00:00-04:00,6.6,7.58,6.6,7.5,250168,0.0,0.0,TOPW,
2025-05-16 00:00:00-04:00,10.73,10.9,4.43,7.77,6075883,0.0,0.0,TOPW,
2025-05-19 00:00:00-04:00,7.44,9.49,7.37,8.92,640249,0.0,0.0,TOPW,
2025-05-20 00:00:00-04:00,9.17,10.88,9.05,9.64,692767,0.0,0.0,TOPW,
2025-05-21 00:00:00-04:00,9.43,9.76,8.14,8.69,465796,0.0,0.0,TOPW,
2025-05-22 00:00:00-04:00,9.39,10.48,8.8,10.17,232489,0.0,0.0,TOPW,
2025-05-23 00:00:00-04:00,10.5,10.79,9.38,10.33,125833,0.0,0.0,TOPW,
