Symbol,Date,Total Assets,Total Liabilities,Total Equity,Total Revenue,Gross Profit,Operating Income,Net Income,Net profit margin,EPS
AAGRW,2024-03-31,17407704.0,41765026.0,-24357322.0,344913.0,27985.0,-12616143.0,-12663598.0,-36.715339810328985,
AAGRW,2023-06-30,10479928.0,17278099.0,-6798171.0,553067.0,161159.0,-9261240.0,-9481372.0,-17.1432611238783,
ADVWW,2024-09-30,3391358000.0,2458827000.0,932531000.0,939270000.0,144312000.0,-5992000.0,-42776000.0,-0.04554175050837352,
ADVWW,2024-06-30,3497411000.0,2523677000.0,973734000.0,873357000.0,122020000.0,7845000.0,-100835000.0,-0.11545679487311604,
ADVWW,2024-03-31,3634072000.0,2549889000.0,1084183000.0,879003000.0,115131000.0,-26073000.0,-5307000.0,-0.006037522056238716,
ADVWW,2023-12-31,3779323000.0,2675246000.0,1104077000.0,1079749000.0,159632000.0,44596000.0,17429000.0,0.01614171441696172,
ADVWW,2023-09-30,4057511000.0,2877420000.0,1180091000.0,1019706000.0,127359000.0,6653000.0,-24338000.0,-0.023867663816825636,
ADVWW,2023-06-30,,,,,,,,,
BENFW,2024-12-31,400012000.0,295226000.0,104786000.0,4417000.0,1488000.0,-6273000.0,-8639000.0,-1.9558523884989811,
BENFW,2024-09-30,368788000.0,256454000.0,112334000.0,8561000.0,1426000.0,-9097000.0,12914000.0,1.5084686368414906,
BENFW,2024-06-30,361304000.0,258542000.0,102762000.0,10046000.0,6196000.0,-2953000.0,47667000.0,4.744873581524985,
BENFW,2024-03-31,368501000.0,309567000.0,58934000.0,-43104000.0,-49672000.0,-67790000.0,-66217000.0,1.5362147364513734,
BENFW,2023-12-31,500563000.0,245538000.0,255025000.0,-10300000.0,-17640000.0,-28057000.0,-542166000.0,52.63747572815534,
BENFW,2023-09-30,,,,,,,,,
BENFW,2023-06-30,,,,,,,,,
BRKHW,2024-09-30,50108063.0,20441659.0,29666404.0,0.0,,-1302114.0,-875953.0,,
BRKHW,2024-06-30,49067382.0,18525025.0,30542357.0,0.0,,-748339.0,-600213.0,,
BRKHW,2024-03-31,48149166.0,17006596.0,31142570.0,0.0,,-475812.0,-10633.0,,
BRKHW,2023-12-31,72594378.0,41441175.0,31153203.0,0.0,,-1204842.0,-337783.0,,
BRKHW,2023-09-30,70853574.0,14578196.0,56275378.0,0.0,,-727703.0,3362.0,,
BRKHW,2023-06-30,,,,,,,,,
CELUW,2024-09-30,128840000.0,111560000.0,17280000.0,9296000.0,5413000.0,-11527000.0,-16098000.0,-1.7317125645438898,
CELUW,2024-06-30,135494000.0,107683000.0,27811000.0,12111000.0,9988000.0,-10175000.0,-6488000.0,-0.535711336801255,
CELUW,2024-03-31,143816000.0,112571000.0,31245000.0,14681000.0,13041000.0,-7376000.0,-22013000.0,-1.49942102036646,
CELUW,2023-12-31,143889000.0,102929000.0,40960000.0,12112000.0,2503000.0,-10846000.0,9547000.0,0.7882265521796565,
CELUW,2023-09-30,157192000.0,126945000.0,30247000.0,3786000.0,184000.0,-16299000.0,-93876000.0,-24.795562599049127,
CELUW,2023-06-30,,,,,,,,,
CMPOW,2024-12-31,473918000.0,617364000.0,-143446000.0,100859000.0,52534000.0,15602000.0,-37329000.0,-0.37011074866893384,
CMPOW,2024-09-30,435441000.0,720450000.0,-285009000.0,107135000.0,55408000.0,29092000.0,-42060000.0,-0.3925887898445886,
CMPOW,2024-06-30,213355000.0,422471000.0,-209116000.0,108567000.0,56072000.0,31793000.0,11099000.0,0.1022318015603268,
CMPOW,2024-03-31,213571000.0,410942000.0,-197371000.0,104010000.0,55213000.0,31136000.0,4025000.0,0.03869820209595231,
CMPOW,2023-12-31,201041000.0,406814000.0,-205773000.0,99900000.0,52895000.0,30527000.0,3396000.0,0.03399399399399399,
CMPOW,2023-09-30,,,,,,,,,
CORZW,2024-12-31,1598815000.0,2418995000.0,-820180000.0,94925000.0,4763000.0,-39634000.0,-265541000.0,-2.7973768764814326,
CORZW,2024-09-30,921851000.0,1651246000.0,-729395000.0,95354000.0,-156000.0,-40710000.0,-455259000.0,-4.7744090441932165,
CORZW,2024-06-30,761456000.0,1845330000.0,-1083874000.0,141102000.0,38817000.0,6850000.0,-804896000.0,-5.704355714305963,
CORZW,2024-03-31,813968000.0,1132477000.0,-318509000.0,179291000.0,77646000.0,60722000.0,210691000.0,1.1751342789097055,
CORZW,2023-12-31,712156000.0,1309097000.0,-596941000.0,141929000.0,39300000.0,9301000.0,-195693000.0,-1.3788091228712949,
CORZW,2023-09-30,,,,,,,,,
CORZW,2023-06-30,,,,,,,,,
CSLRW,2024-09-30,107936000.0,250640000.0,-142704000.0,5536000.0,-3157000.0,-29970000.0,-77958000.0,-14.082008670520231,
CSLRW,2024-06-30,33392000.0,125365000.0,-91973000.0,4492000.0,-892000.0,-9494000.0,-15894000.0,-3.5382902938557437,
CSLRW,2024-03-31,40850000.0,125929000.0,-85079000.0,10040000.0,2283000.0,-7544000.0,-9588000.0,-0.9549800796812749,
CSLRW,2023-12-31,47322000.0,124135000.0,-76813000.0,20729000.0,2689000.0,-16055000.0,-27649000.0,-1.3338318298036567,
CSLRW,2023-09-30,72019000.0,122802000.0,-50783000.0,24590000.0,6236000.0,-11078000.0,-206882000.0,-8.413257421716144,
DAVEW,2024-12-31,299327000.0,116226000.0,183101000.0,100840000.0,94556000.0,20993000.0,16806000.0,0.16666005553351845,
DAVEW,2024-09-30,272242000.0,116427000.0,155815000.0,92489000.0,83913000.0,2550000.0,466000.0,0.005038437003319313,
DAVEW,2024-06-30,247164000.0,105407000.0,141757000.0,80117000.0,72323000.0,5669000.0,6358000.0,0.07935893755382753,
DAVEW,2024-03-31,235599000.0,108285000.0,127314000.0,73630000.0,65907000.0,5399000.0,34243000.0,0.4650685861741138,
DAVEW,2023-12-31,294023000.0,206960000.0,87063000.0,73119000.0,65607000.0,1773000.0,179000.0,0.0024480641146623996,
DAVEW,2023-09-30,,,,,,,,,
KITTW,2024-09-30,24987925.0,61493781.0,-36505856.0,370187.0,-2277832.0,-5569875.0,-11356956.0,-30.67897035822436,
KITTW,2024-06-30,31199223.0,60559301.0,-29360078.0,501708.0,-2373686.0,-6012560.0,-5373320.0,-10.710054453985187,
KITTW,2024-03-31,29431488.0,68934417.0,-39502929.0,464354.0,-1629601.0,-5549330.0,413612.0,0.890725610202561,
KITTW,2023-12-31,26148475.0,67935325.0,-41786850.0,1063603.0,-3381079.0,-7374763.0,-39542589.0,-37.17795925735448,
KITTW,2023-09-30,56337844.0,59014158.0,-2676314.0,1593854.0,-1057526.0,-8198314.0,-17678787.0,-11.091848437811745,
KITTW,2023-06-30,,,,,,,,,
LTRYW,2024-09-30,58403889.0,30729836.0,27674053.0,200655.0,116826.0,-3629616.0,-8046754.0,-40.10243452692432,
LTRYW,2024-06-30,62090053.0,29396761.0,32693292.0,256997.0,211427.0,-5889694.0,-5971667.0,-23.236329606960393,
LTRYW,2024-03-31,63055391.0,28443224.0,34612167.0,259319.0,175532.0,-5594829.0,-5753872.0,-22.18839344591025,
LTRYW,2023-12-31,64377218.0,27761216.0,36616002.0,4921542.0,-420988.0,-13658232.0,-13832064.0,-2.8105142656508875,
LTRYW,2023-09-30,74947564.0,23180542.0,51767022.0,285523.0,213352.0,-3154088.0,-3400617.0,-11.910133334267291,
LTRYW,2023-06-30,,,,,,,,,
LUNRW,2024-09-30,224798000.0,229335000.0,-4537000.0,58478000.0,4121000.0,-8680000.0,-55400000.0,-0.9473648209583091,
LUNRW,2024-06-30,140121000.0,150490000.0,-10369000.0,41408000.0,-15694000.0,-28174000.0,18280000.0,0.44146058732612053,
LUNRW,2024-03-31,170771000.0,214708000.0,-43937000.0,73068000.0,12157000.0,-5400000.0,-98337000.0,-1.3458285432747576,
LUNRW,2023-12-31,85908000.0,139327000.0,-53419000.0,30561000.0,1464000.0,-4908000.0,8992000.0,0.2942312097117241,
LUNRW,2023-09-30,102973000.0,190454000.0,-87481000.0,12731000.0,-13762000.0,-24004000.0,33303000.0,2.615898201241065,
LUNRW,2023-06-30,,,,,,,,,
PROCW,2023-09-30,498554000.0,460100000.0,38454000.0,118410000.0,68403000.0,13049000.0,8194000.0,0.06920023646651466,
PROCW,2023-06-30,490722000.0,458695000.0,32027000.0,110057000.0,61188000.0,15049000.0,26955000.0,0.24491854220994574,
