Symbol,Days_Traded
LIF,244
SW,224
FLG,220
TWFG,216
OS,212
PMVC,197
GRAF,195
SIMA,185
GIG,178
EURK,177
AAM,175
DTSQ,175
MBAV,170
CTEV,170
CURB,167
EQV,166
VACH,165
SOBO,162
SBXD,160
BSII,160
HOND,157
CAPN,147
ECG,145
VCIC,145
POLE,145
MDU,140
SNRE,140
FVN,140
YHNA,136
HTO,136
PRMB,135
TLX,132
CHAR,124
VENU,123
CCIR,121
RDAC,121
BACQ,121
DYNX,116
ALDF,112
OACC,111
BEAG,111
GSRT,108
FACT,107
NTWO,103
WLAC,102
TVRD,101
ASPC,99
CEPO,97
RANG,94
MRP,87
AAPG,86
MSIF,85
AIFE,85
JACS,82
PLMK,81
DRDB,80
MLAC,80
HSPT,78
HVII,77
TIC,74
TDAC,72
DMAA,65
RIBB,57
COLA,51
SVCC,46
CRWV,42
SORA,39
ATII,38
AACB,36
NHIC,28
RAC,27
FERA,27
LOKV,27
CEPT,18
STRZ,15
AHL,14
AII,14
B,13
QSEA,12
GSHR,12
DEFR,10
ETOR,10
GLXY,8
TVA,8
BOBP,5
MNTN,4
HNGE,4
