Symbol,Max_RSI_3M
ALF,100.0
CHEB,100.0
RDACU,100.0
MACI,100.0
AVR,96.62447257383965
CCIRU,96.24060150375946
LTM,93.47014925373144
SKBL,91.11111111111111
RIBBU,90.90909090908974
FSHP,90.00000000000017
NTCL,89.64059196617337
CON,87.17434869739478
CUB,83.33333333333383
MCTR,83.02469135802468
LPAA,81.81818181818211
PHH,81.01503759398497
LPBBU,80.8988764044944
SARO,78.88563049853374
FDSB,78.3018867924528
MTSR,77.59914255091107
MIMI,77.39726027397262
INGM,74.62686567164182
GRDN,70.93889716840535
FBLA,70.44025157232703
CBNA,70.13888888888894
PDCC,68.59903381642513
CEP,66.66666666666653
SFD,66.40776699029126
VENU,65.34296028880865
TTAN,64.44933920704841
FLOC,44.608567208271786
INR,44.177449168207026
