Symbol,RSI_6M
AAM,100.0
AIFE,100.0
ASPC,100.0
ALDF,100.0
BSII,100.0
BEAG,100.0
POLE,100.0
RDAC,100.0
CAPN,100.0
CHAR,100.0
DYNX,100.0
DTSQ,100.0
EURK,100.0
FACT,100.0
GIG,100.0
FVN,100.0
GRAF,100.0
HSPT,100.0
NTWO,100.0
MLAC,100.0
MBAV,100.0
LOKV,100.0
RANG,100.0
NHIC,100.0
RIBB,100.0
SBXD,100.0
YHNA,100.0
VCIC,100.0
TDAC,100.0
WLAC,100.0
CEPO,97.79411764705874
CCIR,96.5517241379311
MSIF,96.523178807947
EQV,96.1538461538462
HOND,96.00000000000009
LIF,95.62231759656655
ECG,95.53372041089773
DRDB,95.23809523809533
CURB,94.27480916030527
SVCC,92.3076923076924
OS,92.1302578018996
FLG,91.69960474308304
CRWV,91.3682277318641
CTEV,90.04360465116278
PLMK,90.00000000000017
VACH,90.0
SORA,89.04867256637168
BACQ,88.2352941176465
PRMB,87.83216783216785
SIMA,87.50000000000028
HVII,87.50000000000028
ATII,86.66666666666683
FERA,86.36363636363659
GSRT,86.20689655172386
TVRD,85.20710059171593
OACC,84.3137254901961
RAC,84.21052631578976
DMAA,83.33333333333358
MRP,81.90591073582632
COLA,81.25000000000021
JACS,80.00000000000036
VENU,79.31034482758622
HTO,77.31788079470195
TWFG,77.11738484398208
SOBO,76.83523654159872
MDU,76.15894039735096
AACB,75.00000000000028
SW,72.71872060206962
CEPT,72.51908396946567
TIC,68.15068493150686
